cell,attempts,source_clusters,root_passages,reference_voices,arm_a,arm_b,role,metric,delta_a_minus_b,method,lo,hi,n_valid,n_empty,degenerate
B0,14,14,14,11,f5_long,f5_short,primary,wer_all_pct,-16.822571125116415,source_conditional,-22.50034468910737,-10.8025468367121,10000,0,False
B0,14,14,14,11,f5_long,f5_short,primary,wer_all_pct,-16.822571125116415,source_voice_crossed,-26.20455878414514,-4.808474215638166,9997,3,False
B0,14,14,14,11,f5_long,f5_short,primary,correct_word_recall_pct,22.111040318908955,source_conditional,16.184409225864325,27.660558102018438,10000,0,False
B0,14,14,14,11,f5_long,f5_short,primary,correct_word_recall_pct,22.111040318908955,source_voice_crossed,11.236653104918657,31.229953106040362,9997,3,False
B0,14,14,14,11,cosy_long,cosy_base,secondary,wer_all_pct,-2.0653835758821937,source_conditional,-5.090178238305722,1.267335717593116,10000,0,False
B0,14,14,14,11,cosy_long,cosy_base,secondary,wer_all_pct,-2.0653835758821937,source_voice_crossed,-7.064734376556464,4.063703597527775,9997,3,False
B0,14,14,14,11,cosy_long,cosy_base,secondary,correct_word_recall_pct,2.251005050858992,source_conditional,-1.071017130004814,5.294582796503107,10000,0,False
B0,14,14,14,11,cosy_long,cosy_base,secondary,correct_word_recall_pct,2.251005050858992,source_voice_crossed,-3.952276783778802,7.287644409406526,9997,3,False
B0,14,14,14,11,qwen_long,qwen_base,secondary,wer_all_pct,4.439467412319753,source_conditional,1.917094583776237,7.158914895172684,10000,0,False
B0,14,14,14,11,qwen_long,qwen_base,secondary,wer_all_pct,4.439467412319753,source_voice_crossed,0.12023043212410542,9.228224560605927,9997,3,False
B0,14,14,14,11,qwen_long,qwen_base,secondary,correct_word_recall_pct,-4.352932269721488,source_conditional,-6.898563526888496,-1.976226654456177,10000,0,False
B0,14,14,14,11,qwen_long,qwen_base,secondary,correct_word_recall_pct,-4.352932269721488,source_voice_crossed,-8.878936070609736,-0.31692649166639036,9997,3,False
B0,14,14,14,11,vox_long,vox_base,secondary,wer_all_pct,-8.982224508729418,source_conditional,-15.04238206776467,-3.7770329575524992,10000,0,False
B0,14,14,14,11,vox_long,vox_base,secondary,wer_all_pct,-8.982224508729418,source_voice_crossed,-19.421331227188578,-1.6324153905118304,9997,3,False
B0,14,14,14,11,vox_long,vox_base,secondary,correct_word_recall_pct,9.345749378663653,source_conditional,3.9547026541736074,15.527797901468828,10000,0,False
B0,14,14,14,11,vox_long,vox_base,secondary,correct_word_recall_pct,9.345749378663653,source_voice_crossed,1.6841387762502578,20.059546065433224,9997,3,False
B0,14,14,14,11,f5_long,f5_base,secondary,wer_all_pct,-17.66668351623209,source_conditional,-23.81198437816602,-10.714394752899386,10000,0,False
B0,14,14,14,11,f5_long,f5_base,secondary,wer_all_pct,-17.66668351623209,source_voice_crossed,-27.23453751728491,-3.9373720211160332,9997,3,False
B0,14,14,14,11,f5_long,f5_base,secondary,correct_word_recall_pct,24.59756548226583,source_conditional,16.835836600219338,31.397438649694095,10000,0,False
B0,14,14,14,11,f5_long,f5_base,secondary,correct_word_recall_pct,24.59756548226583,source_voice_crossed,9.675324675324674,35.16782894374822,9997,3,False
B0,14,14,14,11,cosy_long_punct,cosy_long,secondary,wer_all_pct,-1.6445293498897346,source_conditional,-3.8666504175719045,0.280391436988645,10000,0,False
B0,14,14,14,11,cosy_long_punct,cosy_long,secondary,wer_all_pct,-1.6445293498897346,source_voice_crossed,-5.973359738922063,1.4364238395289577,9997,3,False
B0,14,14,14,11,cosy_long_punct,cosy_long,secondary,correct_word_recall_pct,1.4548563393809713,source_conditional,-0.505201240637794,3.8550579188534115,10000,0,False
B0,14,14,14,11,cosy_long_punct,cosy_long,secondary,correct_word_recall_pct,1.4548563393809713,source_voice_crossed,-1.5727681994206661,6.224339181470302,9997,3,False
B0,14,14,14,11,cosy_long_punct,cosy_base,secondary,wer_all_pct,-3.7099129257719285,source_conditional,-6.6763669437184054,-1.2373557994247024,10000,0,False
B0,14,14,14,11,cosy_long_punct,cosy_base,secondary,wer_all_pct,-3.7099129257719285,source_voice_crossed,-9.180002883868625,-0.009976674855346047,9997,3,False
B0,14,14,14,11,cosy_long_punct,cosy_base,secondary,correct_word_recall_pct,3.705861390239963,source_conditional,1.280044409312863,6.663442074397701,10000,0,False
B0,14,14,14,11,cosy_long_punct,cosy_base,secondary,correct_word_recall_pct,3.705861390239963,source_voice_crossed,0.15110342555994977,9.151890670852149,9997,3,False
B2,14,14,14,11,cosy_long,cosy_short,primary,wer_all_pct,-68.42215965059047,source_conditional,-79.14597145322192,-56.47296876726589,10000,0,False
B2,14,14,14,11,cosy_long,cosy_short,primary,wer_all_pct,-68.42215965059047,source_voice_crossed,-85.50399535264557,-49.35395384571952,9996,4,False
B2,14,14,14,11,cosy_long,cosy_short,primary,correct_word_recall_pct,71.82720021731124,source_conditional,62.713829037637204,80.3291119557353,10000,0,False
B2,14,14,14,11,cosy_long,cosy_short,primary,correct_word_recall_pct,71.82720021731124,source_voice_crossed,56.99833625049028,85.90813841474927,9996,4,False
B2,14,14,14,11,qwen_long,qwen_short,primary,wer_all_pct,-41.84836809595365,source_conditional,-53.5809365696045,-29.87869225356354,10000,0,False
B2,14,14,14,11,qwen_long,qwen_short,primary,wer_all_pct,-41.84836809595365,source_voice_crossed,-59.686813613099105,-21.936233517793134,9996,4,False
B2,14,14,14,11,qwen_long,qwen_short,primary,correct_word_recall_pct,41.98779376712521,source_conditional,29.984021418736255,53.78731570296442,10000,0,False
B2,14,14,14,11,qwen_long,qwen_short,primary,correct_word_recall_pct,41.98779376712521,source_voice_crossed,21.998120870678363,59.93183724943719,9996,4,False
B2,14,14,14,11,vox_long,vox_short,primary,wer_all_pct,-1.6525283233399948,source_conditional,-2.282040671276124,-1.056008375736579,10000,0,False
B2,14,14,14,11,vox_long,vox_short,primary,wer_all_pct,-1.6525283233399948,source_voice_crossed,-2.824907885109518,-0.7067155147478109,9996,4,False
B2,14,14,14,11,vox_long,vox_short,primary,correct_word_recall_pct,1.5045356672210002,source_conditional,0.9450031596674379,2.1063398549643706,10000,0,False
B2,14,14,14,11,vox_long,vox_short,primary,correct_word_recall_pct,1.5045356672210002,source_voice_crossed,0.6399838035767846,2.658810977357053,9996,4,False
B2,14,14,14,11,f5_long,f5_short,primary,wer_all_pct,-16.185642209509247,source_conditional,-18.217025312553655,-14.446343031192555,10000,0,False
B2,14,14,14,11,f5_long,f5_short,primary,wer_all_pct,-16.185642209509247,source_voice_crossed,-20.156893068926657,-13.426976070904743,9996,4,False
B2,14,14,14,11,f5_long,f5_short,primary,correct_word_recall_pct,16.609915733640523,source_conditional,14.90308906358737,18.586257799924294,10000,0,False
B2,14,14,14,11,f5_long,f5_short,primary,correct_word_recall_pct,16.609915733640523,source_voice_crossed,13.930213340108658,20.45286680086645,9996,4,False
B2,14,14,14,11,cosy_long,cosy_base,secondary,wer_all_pct,-70.94275158110246,source_conditional,-82.6330698148507,-55.887168382636276,10000,0,False
B2,14,14,14,11,cosy_long,cosy_base,secondary,wer_all_pct,-70.94275158110246,source_voice_crossed,-88.17371469864594,-45.10391844122538,9996,4,False
B2,14,14,14,11,cosy_long,cosy_base,secondary,correct_word_recall_pct,74.96095808754339,source_conditional,66.2778287160648,83.1414693862151,10000,0,False
B2,14,14,14,11,cosy_long,cosy_base,secondary,correct_word_recall_pct,74.96095808754339,source_voice_crossed,61.26516240886106,88.27404003778321,9996,4,False
B2,14,14,14,11,qwen_long,qwen_base,secondary,wer_all_pct,2.402876028931864,source_conditional,-1.1665836092562787,5.423161113303271,10000,0,False
B2,14,14,14,11,qwen_long,qwen_base,secondary,wer_all_pct,2.402876028931864,source_voice_crossed,-4.680488709541157,7.1791088861177474,9996,4,False
B2,14,14,14,11,qwen_long,qwen_base,secondary,correct_word_recall_pct,-2.4045346152478593,source_conditional,-5.321331197062328,1.1763643070191918,10000,0,False
B2,14,14,14,11,qwen_long,qwen_base,secondary,correct_word_recall_pct,-2.4045346152478593,source_voice_crossed,-7.003675737763071,4.737295904350701,9996,4,False
B2,14,14,14,11,vox_long,vox_base,secondary,wer_all_pct,-11.803908411255204,source_conditional,-26.87391523865135,-1.0964104435536028,10000,0,False
B2,14,14,14,11,vox_long,vox_base,secondary,wer_all_pct,-11.803908411255204,source_voice_crossed,-38.754302323734656,-0.31577457378392787,9996,4,False
B2,14,14,14,11,vox_long,vox_base,secondary,correct_word_recall_pct,11.660808954912213,source_conditional,0.9733586005853911,26.762081927712533,10000,0,False
B2,14,14,14,11,vox_long,vox_base,secondary,correct_word_recall_pct,11.660808954912213,source_voice_crossed,0.3282120911362245,38.562956964357205,9996,4,False
B2,14,14,14,11,f5_long,f5_base,secondary,wer_all_pct,-17.31169025716532,source_conditional,-19.2723696296225,-15.63830802868029,10000,0,False
B2,14,14,14,11,f5_long,f5_base,secondary,wer_all_pct,-17.31169025716532,source_voice_crossed,-21.165216981364715,-14.759296335658654,9996,4,False
B2,14,14,14,11,f5_long,f5_base,secondary,correct_word_recall_pct,17.759852935620547,source_conditional,16.046308766401975,19.68116231969505,10000,0,False
B2,14,14,14,11,f5_long,f5_base,secondary,correct_word_recall_pct,17.759852935620547,source_voice_crossed,15.019342980114912,21.444593166355435,9996,4,False
B2,14,14,14,11,cosy_long_punct,cosy_long,secondary,wer_all_pct,-8.2493628745332,source_conditional,-17.114849029639956,-1.6336776086188118,10000,0,False
B2,14,14,14,11,cosy_long_punct,cosy_long,secondary,wer_all_pct,-8.2493628745332,source_voice_crossed,-23.610263289156965,-0.13763648930521272,9996,4,False
B2,14,14,14,11,cosy_long_punct,cosy_long,secondary,correct_word_recall_pct,4.202989731536147,source_conditional,0.4493465097154822,9.469519872421289,10000,0,False
B2,14,14,14,11,cosy_long_punct,cosy_long,secondary,correct_word_recall_pct,4.202989731536147,source_voice_crossed,-0.3296945120739334,14.917390092292115,9996,4,False
B2,14,14,14,11,cosy_long_punct,cosy_base,secondary,wer_all_pct,-79.19211445563566,source_conditional,-87.31615771487259,-70.26795371343384,10000,0,False
B2,14,14,14,11,cosy_long_punct,cosy_base,secondary,wer_all_pct,-79.19211445563566,source_voice_crossed,-92.44753216044303,-64.68166312183797,9996,4,False
B2,14,14,14,11,cosy_long_punct,cosy_base,secondary,correct_word_recall_pct,79.16394781907954,source_conditional,70.30865106423198,87.18965381546197,10000,0,False
B2,14,14,14,11,cosy_long_punct,cosy_base,secondary,correct_word_recall_pct,79.16394781907954,source_voice_crossed,64.6770293995796,92.47190673820155,9996,4,False
B4,22,22,22,19,cosy_long,cosy_short,primary,wer_all_pct,-52.66574019316218,source_conditional,-62.685722119271645,-42.241658173094095,10000,0,False
B4,22,22,22,19,cosy_long,cosy_short,primary,wer_all_pct,-52.66574019316218,source_voice_crossed,-67.70799940249015,-34.63356046938551,10000,0,False
B4,22,22,22,19,cosy_long,cosy_short,primary,correct_word_recall_pct,69.42163730212432,source_conditional,57.52871550750245,80.0195991721287,10000,0,False
B4,22,22,22,19,cosy_long,cosy_short,primary,correct_word_recall_pct,69.42163730212432,source_voice_crossed,48.47407737875996,85.57761462449935,10000,0,False
B4,22,22,22,19,qwen_long,qwen_short,primary,wer_all_pct,-52.71537574590777,source_conditional,-61.660959263665816,-43.38732441480138,10000,0,False
B4,22,22,22,19,qwen_long,qwen_short,primary,wer_all_pct,-52.71537574590777,source_voice_crossed,-67.29472037904816,-35.72369974556689,10000,0,False
B4,22,22,22,19,qwen_long,qwen_short,primary,correct_word_recall_pct,54.885479288121026,source_conditional,45.24389326283961,63.88949548266943,10000,0,False
B4,22,22,22,19,qwen_long,qwen_short,primary,correct_word_recall_pct,54.885479288121026,source_voice_crossed,37.1452094596054,69.07927600547364,10000,0,False
B4,22,22,22,19,vox_long,vox_short,primary,wer_all_pct,-41.54626922630851,source_conditional,-47.7219440471257,-35.43142140965375,10000,0,False
B4,22,22,22,19,vox_long,vox_short,primary,wer_all_pct,-41.54626922630851,source_voice_crossed,-51.44887197285004,-31.28673828109398,10000,0,False
B4,22,22,22,19,vox_long,vox_short,primary,correct_word_recall_pct,44.34037093344917,source_conditional,38.343648146222996,50.36267107166059,10000,0,False
B4,22,22,22,19,vox_long,vox_short,primary,correct_word_recall_pct,44.34037093344917,source_voice_crossed,34.0421870794833,53.959837203364415,10000,0,False
B4,22,22,22,19,f5_long,f5_short,primary,wer_all_pct,-4.638296672836636,source_conditional,-4.946608404305756,-4.351347915153919,10000,0,False
B4,22,22,22,19,f5_long,f5_short,primary,wer_all_pct,-4.638296672836636,source_voice_crossed,-5.176463827281168,-4.167020241677471,10000,0,False
B4,22,22,22,19,f5_long,f5_short,primary,correct_word_recall_pct,4.694521908925914,source_conditional,4.398931080533534,5.014252060765558,10000,0,False
B4,22,22,22,19,f5_long,f5_short,primary,correct_word_recall_pct,4.694521908925914,source_voice_crossed,4.21713660076589,5.267411258099444,10000,0,False
B4,22,22,22,19,cosy_long,cosy_base,secondary,wer_all_pct,-52.52319935666385,source_conditional,-62.52691661618671,-42.11370503577101,10000,0,False
B4,22,22,22,19,cosy_long,cosy_base,secondary,wer_all_pct,-52.52319935666385,source_voice_crossed,-67.46935638190467,-34.532950073345944,10000,0,False
B4,22,22,22,19,cosy_long,cosy_base,secondary,correct_word_recall_pct,69.279096465626,source_conditional,57.39916670029094,79.87316051639513,10000,0,False
B4,22,22,22,19,cosy_long,cosy_base,secondary,correct_word_recall_pct,69.279096465626,source_voice_crossed,48.30589130517176,85.39130433244642,10000,0,False
B4,22,22,22,19,qwen_long,qwen_base,secondary,wer_all_pct,-31.64151411934754,source_conditional,-39.47092715575815,-23.76509150254133,10000,0,False
B4,22,22,22,19,qwen_long,qwen_base,secondary,wer_all_pct,-31.64151411934754,source_voice_crossed,-45.52512745454677,-18.271602729466313,10000,0,False
B4,22,22,22,19,qwen_long,qwen_base,secondary,correct_word_recall_pct,32.63380953409304,source_conditional,24.41957512314161,40.70006819810229,10000,0,False
B4,22,22,22,19,qwen_long,qwen_base,secondary,correct_word_recall_pct,32.63380953409304,source_voice_crossed,18.34994822765455,46.58679986384817,10000,0,False
B4,22,22,22,19,vox_long,vox_base,secondary,wer_all_pct,-45.95647162724211,source_conditional,-52.88997485443615,-39.194723302419426,10000,0,False
B4,22,22,22,19,vox_long,vox_base,secondary,wer_all_pct,-45.95647162724211,source_voice_crossed,-57.22366569262266,-35.02496929540242,10000,0,False
B4,22,22,22,19,vox_long,vox_base,secondary,correct_word_recall_pct,49.64243104150073,source_conditional,42.993969787603675,56.40633752710489,10000,0,False
B4,22,22,22,19,vox_long,vox_base,secondary,correct_word_recall_pct,49.64243104150073,source_voice_crossed,38.587936374772056,60.16701769059229,10000,0,False
B4,22,22,22,19,f5_long,f5_base,secondary,wer_all_pct,-5.036289830308484,source_conditional,-5.325448652597013,-4.775266428777453,10000,0,False
B4,22,22,22,19,f5_long,f5_base,secondary,wer_all_pct,-5.036289830308484,source_voice_crossed,-5.569219486854072,-4.625347722228058,10000,0,False
B4,22,22,22,19,f5_long,f5_base,secondary,correct_word_recall_pct,5.092515066397761,source_conditional,4.814215965217087,5.398902683708969,10000,0,False
B4,22,22,22,19,f5_long,f5_base,secondary,correct_word_recall_pct,5.092515066397761,source_voice_crossed,4.657244742764951,5.662711207852562,10000,0,False
B4,22,22,22,19,cosy_long_punct,cosy_long,secondary,wer_all_pct,-30.637951994016614,source_conditional,-41.11601448380163,-20.44563554032347,10000,0,False
B4,22,22,22,19,cosy_long_punct,cosy_long,secondary,wer_all_pct,-30.637951994016614,source_voice_crossed,-49.31200716623832,-14.704059697654731,10000,0,False
B4,22,22,22,19,cosy_long_punct,cosy_long,secondary,correct_word_recall_pct,16.455264912724054,source_conditional,6.774259277763917,27.497593038821233,10000,0,False
B4,22,22,22,19,cosy_long_punct,cosy_long,secondary,correct_word_recall_pct,16.455264912724054,source_voice_crossed,2.1600479029709634,36.797357830421085,10000,0,False
B4,22,22,22,19,cosy_long_punct,cosy_base,secondary,wer_all_pct,-83.16115135068047,source_conditional,-89.27199079988536,-76.58281381088531,10000,0,False
B4,22,22,22,19,cosy_long_punct,cosy_base,secondary,wer_all_pct,-83.16115135068047,source_voice_crossed,-92.8984044786322,-72.0031821748292,10000,0,False
B4,22,22,22,19,cosy_long_punct,cosy_base,secondary,correct_word_recall_pct,85.73436137835003,source_conditional,79.47616168623384,91.54160824739343,10000,0,False
B4,22,22,22,19,cosy_long_punct,cosy_base,secondary,correct_word_recall_pct,85.73436137835003,source_voice_crossed,74.54479739786035,94.52922280848396,10000,0,False
ALL,50,22,22,21,cosy_long,cosy_short,primary,wer_all_pct,-43.014850041218516,source_conditional,-50.06328086498267,-36.55753029680414,10000,0,False
ALL,50,22,22,21,cosy_long,cosy_short,primary,wer_all_pct,-43.014850041218516,source_voice_crossed,-57.02617988349793,-29.20198383927039,10000,0,False
ALL,50,22,22,21,cosy_long,cosy_short,primary,correct_word_recall_pct,51.36984163509006,source_conditional,45.106442000388505,58.534237732050755,10000,0,False
ALL,50,22,22,21,cosy_long,cosy_short,primary,correct_word_recall_pct,51.36984163509006,source_voice_crossed,35.83758442086299,66.59827012803746,10000,0,False
ALL,50,22,22,21,qwen_long,qwen_short,primary,wer_all_pct,-35.399236226064176,source_conditional,-42.02782543581093,-29.05970591036379,10000,0,False
ALL,50,22,22,21,qwen_long,qwen_short,primary,wer_all_pct,-35.399236226064176,source_voice_crossed,-46.09041695718474,-23.164493618050145,10000,0,False
ALL,50,22,22,21,qwen_long,qwen_short,primary,correct_word_recall_pct,36.31561502995917,source_conditional,29.825068981727078,43.13455080904164,10000,0,False
ALL,50,22,22,21,qwen_long,qwen_short,primary,correct_word_recall_pct,36.31561502995917,source_voice_crossed,23.71440115403327,47.274339346688194,10000,0,False
ALL,50,22,22,21,vox_long,vox_short,primary,wer_all_pct,-19.03419182650468,source_conditional,-23.58305319838975,-15.405769868723546,10000,0,False
ALL,50,22,22,21,vox_long,vox_short,primary,wer_all_pct,-19.03419182650468,source_voice_crossed,-26.937914984250554,-12.550552790162001,10000,0,False
ALL,50,22,22,21,vox_long,vox_short,primary,correct_word_recall_pct,20.29984921197267,source_conditional,16.948296753966186,24.489474313408657,10000,0,False
ALL,50,22,22,21,vox_long,vox_short,primary,correct_word_recall_pct,20.29984921197267,source_voice_crossed,13.828647606867465,27.608839615062873,10000,0,False
ALL,50,22,22,21,f5_long,f5_short,primary,wer_all_pct,-11.283150269743306,source_conditional,-13.17503594892739,-9.187603304039293,10000,0,False
ALL,50,22,22,21,f5_long,f5_short,primary,wer_all_pct,-11.283150269743306,source_voice_crossed,-14.824577441471252,-7.551552213368443,10000,0,False
ALL,50,22,22,21,f5_long,f5_short,primary,correct_word_recall_pct,12.907457334641258,source_conditional,10.82881230482469,14.816072673295729,10000,0,False
ALL,50,22,22,21,f5_long,f5_short,primary,correct_word_recall_pct,12.907457334641258,source_voice_crossed,9.349974889090971,16.700372897679074,10000,0,False
ALL,50,22,22,21,cosy_long,cosy_base,secondary,wer_all_pct,-43.552485560887796,source_conditional,-50.99907319801912,-36.44844346210554,10000,0,False
ALL,50,22,22,21,cosy_long,cosy_base,secondary,wer_all_pct,-43.552485560887796,source_voice_crossed,-58.42506303250253,-29.10784615404142,10000,0,False
ALL,50,22,22,21,cosy_long,cosy_base,secondary,correct_word_recall_pct,52.1021521236281,source_conditional,45.33931118192929,59.46434378171955,10000,0,False
ALL,50,22,22,21,cosy_long,cosy_base,secondary,correct_word_recall_pct,52.1021521236281,source_voice_crossed,36.61620070338421,67.87879569924966,10000,0,False
ALL,50,22,22,21,qwen_long,qwen_base,secondary,wer_all_pct,-12.006410048962461,source_conditional,-15.905445501463952,-8.711184176855282,10000,0,False
ALL,50,22,22,21,qwen_long,qwen_base,secondary,wer_all_pct,-12.006410048962461,source_voice_crossed,-19.558460629119097,-5.269035061812789,10000,0,False
ALL,50,22,22,21,qwen_long,qwen_base,secondary,correct_word_recall_pct,12.46678546720952,source_conditional,8.949632282952907,16.58706930360685,10000,0,False
ALL,50,22,22,21,qwen_long,qwen_base,secondary,correct_word_recall_pct,12.46678546720952,source_voice_crossed,5.43677292226253,20.409144100464772,10000,0,False
ALL,50,22,22,21,vox_long,vox_base,secondary,wer_all_pct,-26.040964733582214,source_conditional,-32.925495227136764,-20.66365667723482,10000,0,False
ALL,50,22,22,21,vox_long,vox_base,secondary,wer_all_pct,-26.040964733582214,source_voice_crossed,-37.839295984280035,-17.34446068597671,10000,0,False
ALL,50,22,22,21,vox_long,vox_base,secondary,correct_word_recall_pct,27.724505991661562,source_conditional,22.516956419972775,34.3518827043863,10000,0,False
ALL,50,22,22,21,vox_long,vox_base,secondary,correct_word_recall_pct,27.724505991661562,source_voice_crossed,18.965121295262342,38.997904948117366,10000,0,False
ALL,50,22,22,21,f5_long,f5_base,secondary,wer_all_pct,-12.00991218188701,source_conditional,-14.186358637235022,-9.487051913342173,10000,0,False
ALL,50,22,22,21,f5_long,f5_base,secondary,wer_all_pct,-12.00991218188701,source_voice_crossed,-15.70412875530951,-7.889719721875655,10000,0,False
ALL,50,22,22,21,f5_long,f5_base,secondary,correct_word_recall_pct,14.100783786223197,source_conditional,11.291815462270064,16.569870653496405,10000,0,False
ALL,50,22,22,21,f5_long,f5_base,secondary,correct_word_recall_pct,14.100783786223197,source_voice_crossed,9.53606949099147,18.54456626062224,10000,0,False
ALL,50,22,22,21,cosy_long_punct,cosy_long,secondary,wer_all_pct,-16.250988700205728,source_conditional,-21.074450579126335,-11.441970610376167,10000,0,False
ALL,50,22,22,21,cosy_long_punct,cosy_long,secondary,wer_all_pct,-16.250988700205728,source_voice_crossed,-25.441033360350385,-7.946641603504583,10000,0,False
ALL,50,22,22,21,cosy_long_punct,cosy_long,secondary,correct_word_recall_pct,8.824513461455375,source_conditional,4.3716395240732355,13.77989758462934,10000,0,False
ALL,50,22,22,21,cosy_long_punct,cosy_long,secondary,correct_word_recall_pct,8.824513461455375,source_voice_crossed,1.9209175050091631,18.130518363666766,10000,0,False
ALL,50,22,22,21,cosy_long_punct,cosy_base,secondary,wer_all_pct,-59.803474261093534,source_conditional,-66.04471750287757,-54.34743483061422,10000,0,False
ALL,50,22,22,21,cosy_long_punct,cosy_base,secondary,wer_all_pct,-59.803474261093534,source_voice_crossed,-74.57954419171858,-45.27946349436433,10000,0,False
ALL,50,22,22,21,cosy_long_punct,cosy_base,secondary,correct_word_recall_pct,60.926665585083484,source_conditional,55.22662101866071,67.36646001481564,10000,0,False
ALL,50,22,22,21,cosy_long_punct,cosy_base,secondary,correct_word_recall_pct,60.926665585083484,source_voice_crossed,46.10386207431643,75.59760235022186,10000,0,False
B4::new_external_heldout,11,11,11,8,cosy_long,cosy_short,primary,wer_all_pct,-56.06189849211808,source_conditional,-68.64479368470494,-41.67265696561633,10000,0,False
B4::new_external_heldout,11,11,11,8,cosy_long,cosy_short,primary,wer_all_pct,-56.06189849211808,source_voice_crossed,-73.24732463407899,-31.153991238374058,9959,41,False
B4::new_external_heldout,11,11,11,8,cosy_long,cosy_short,primary,correct_word_recall_pct,72.0775687200576,source_conditional,60.699436274775216,82.88346306860424,10000,0,False
B4::new_external_heldout,11,11,11,8,cosy_long,cosy_short,primary,correct_word_recall_pct,72.0775687200576,source_voice_crossed,50.83671362223223,88.709099068901,9959,41,False
B4::new_external_heldout,11,11,11,8,qwen_long,qwen_short,primary,wer_all_pct,-61.30099342809624,source_conditional,-70.44316417827388,-52.28402188803275,10000,0,False
B4::new_external_heldout,11,11,11,8,qwen_long,qwen_short,primary,wer_all_pct,-61.30099342809624,source_voice_crossed,-76.52556627824565,-45.33401336376308,9959,41,False
B4::new_external_heldout,11,11,11,8,qwen_long,qwen_short,primary,correct_word_recall_pct,64.61672449018164,source_conditional,56.33302398601501,72.92698463991356,10000,0,False
B4::new_external_heldout,11,11,11,8,qwen_long,qwen_short,primary,correct_word_recall_pct,64.61672449018164,source_voice_crossed,49.620490786737825,78.55369316288797,9959,41,False
B4::new_external_heldout,11,11,11,8,vox_long,vox_short,primary,wer_all_pct,-43.89465109348418,source_conditional,-52.720172004161135,-34.620280333821526,10000,0,False
B4::new_external_heldout,11,11,11,8,vox_long,vox_short,primary,wer_all_pct,-43.89465109348418,source_voice_crossed,-57.41789456710057,-27.830533601491588,9959,41,False
B4::new_external_heldout,11,11,11,8,vox_long,vox_short,primary,correct_word_recall_pct,47.052754362640435,source_conditional,38.71157185319832,54.11011715413559,10000,0,False
B4::new_external_heldout,11,11,11,8,vox_long,vox_short,primary,correct_word_recall_pct,47.052754362640435,source_voice_crossed,32.23408184936108,57.363015350010656,9959,41,False
B4::new_external_heldout,11,11,11,8,f5_long,f5_short,primary,wer_all_pct,-4.613190513085713,source_conditional,-5.01527391202357,-4.248849819249519,10000,0,False
B4::new_external_heldout,11,11,11,8,f5_long,f5_short,primary,wer_all_pct,-4.613190513085713,source_voice_crossed,-5.371133239559326,-4.021340239725032,9959,41,False
B4::new_external_heldout,11,11,11,8,f5_long,f5_short,primary,correct_word_recall_pct,4.644293912263271,source_conditional,4.267339158926934,5.059338318718865,10000,0,False
B4::new_external_heldout,11,11,11,8,f5_long,f5_short,primary,correct_word_recall_pct,4.644293912263271,source_voice_crossed,4.053899952587235,5.437824369186323,9959,41,False
B4::new_external_heldout,11,11,11,8,cosy_long,cosy_base,secondary,wer_all_pct,-55.92827965175736,source_conditional,-68.56056942226276,-41.560928649603014,10000,0,False
B4::new_external_heldout,11,11,11,8,cosy_long,cosy_base,secondary,wer_all_pct,-55.92827965175736,source_voice_crossed,-73.17997824978455,-30.913448028609874,9959,41,False
B4::new_external_heldout,11,11,11,8,cosy_long,cosy_base,secondary,correct_word_recall_pct,71.94394987969689,source_conditional,60.52684555327059,82.7981338860235,10000,0,False
